Contexto;Estado;Data Estado;Escalão Etário;Nº Elem. Agregado;Nº Adultos;Concelho;Rendimento Global (IRS e Rend. Isentos)
Registo de Adesão;Registado;14/06/2023;35 a 65 anos;3;2;Lisboa;206,33
Registo de Adesão;Registado;05/11/2024;Menos 35 anos;1;1;Lisboa;211,98
Registo de Adesão;Registado;15/05/2023;Menos 35 anos;2;1;Lisboa;224,42
Registo de Adesão;Registado;07/11/2024;Mais de 65 anos;1;1;Lisboa;237,25
Registo de Adesão;Registado;16/06/2023;35 a 65 anos;3;2;Lisboa;238
Registo de Adesão;Registado;20/12/2023;35 a 65 anos;1;1;Palmela;274,8
Registo de Adesão;Registado;24/02/2023;Mais de 65 anos;3;3;Lisboa;280
Registo de Adesão;Registado;12/04/2023;Mais de 65 anos;1;1;Lisboa;281,25
Registo de Adesão;Registado;05/09/2023;Menos 35 anos;3;1;Lisboa;282,84
Registo de Adesão;Registado;22/03/2023;35 a 65 anos;2;2;Lisboa;300
Registo de Adesão;Registado;23/01/2023;Menos 35 anos;2;1;Vila Franca de Xira;317,18
Registo de Adesão;Registado;14/02/2023;35 a 65 anos;2;1;Lisboa;325
Registo de Adesão;Registado;20/12/2023;Menos 35 anos;1;1;Lisboa;325,5
Registo de Adesão;Registado;06/06/2023;35 a 65 anos;4;3;Lisboa;327,39
Registo de Adesão;Registado;23/12/2023;35 a 65 anos;1;1;Setúbal;328,5
Registo de Adesão;Registado;16/11/2023;Menos 35 anos;3;1;Lisboa;340,23
Registo de Adesão;Registado;13/10/2023;Menos 35 anos;1;1;Vila Franca de Xira;342
Registo de Adesão;Registado;20/07/2023;35 a 65 anos;1;1;Mafra;349,38
Registo de Adesão;Registado;21/08/2023;35 a 65 anos;1;1;Lisboa;352,5
Registo de Adesão;Registado;19/01/2023;Menos 35 anos;1;1;Coimbra;363,23
Registo de Adesão;Registado;09/02/2023;Menos 35 anos;2;2;Trancoso;391,22
Registo de Adesão;Registado;12/01/2023;35 a 65 anos;2;2;Lisboa;400
Registo de Adesão;Registado;07/11/2023;35 a 65 anos;3;1;Sintra;405,12
Registo de Adesão;Registado;05/11/2024;35 a 65 anos;1;1;Lisboa;408
Registo de Adesão;Registado;20/12/2023;35 a 65 anos;5;1;Odivelas;412
Registo de Adesão;Registado;24/01/2023;Menos 35 anos;2;2;Lisboa;417,05
Registo de Adesão;Registado;30/11/2023;35 a 65 anos;1;1;Lisboa;418
Registo de Adesão;Registado;27/01/2023;35 a 65 anos;3;2;Lisboa;438,81
Registo de Adesão;Registado;17/01/2023;35 a 65 anos;2;2;Lisboa;441,48
Registo de Adesão;Registado;26/02/2023;35 a 65 anos;1;1;Lisboa;449,62
Registo de Adesão;Registado;18/12/2023;Menos 35 anos;1;1;Lisboa;449,83
Registo de Adesão;Registado;03/03/2023;35 a 65 anos;2;1;Lisboa;450
Registo de Adesão;Registado;26/06/2023;35 a 65 anos;1;1;Lisboa;457
Registo de Adesão;Registado;05/10/2023;35 a 65 anos;2;2;Lisboa;462,83
Registo de Adesão;Registado;23/10/2023;35 a 65 anos;2;1;Lisboa;464,25
Registo de Adesão;Registado;10/07/2023;35 a 65 anos;2;1;Lisboa;468,35
Registo de Adesão;Registado;13/10/2023;35 a 65 anos;3;1;Lisboa;486,5
Registo de Adesão;Registado;27/12/2023;35 a 65 anos;1;1;Amadora;500
Registo de Adesão;Registado;07/10/2023;35 a 65 anos;2;2;Lisboa;500
Registo de Adesão;Registado;06/11/2024;35 a 65 anos;3;2;Lisboa;515,84
Registo de Adesão;Registado;25/10/2023;35 a 65 anos;2;1;Sintra;584,06
Registo de Adesão;Registado;04/02/2023;35 a 65 anos;2;1;Lisboa;585
Registo de Adesão;Registado;04/01/2023;Menos 35 anos;1;1;Lisboa;600,4
Registo de Adesão;Registado;14/11/2024;Menos 35 anos;2;1;Sintra;604
Registo de Adesão;Registado;05/01/2023;Menos 35 anos;1;1;Loures;604,78
Registo de Adesão;Registado;28/06/2023;35 a 65 anos;1;1;Lisboa;608,57
Registo de Adesão;Registado;31/01/2023;Menos 35 anos;3;2;Lisboa;632,74
Registo de Adesão;Registado;27/06/2023;35 a 65 anos;3;2;Lisboa;653
Registo de Adesão;Registado;25/12/2023;Menos 35 anos;1;1;Almada;657,87
Registo de Adesão;Registado;06/04/2023;35 a 65 anos;2;2;Montijo;661,98
Registo de Adesão;Registado;02/01/2023;Menos 35 anos;3;1;Oeiras;662,04
Registo de Adesão;Registado;25/10/2023;35 a 65 anos;1;1;Lisboa;667,5
Registo de Adesão;Registado;24/03/2023;35 a 65 anos;4;2;Lisboa;668,81
Registo de Adesão;Registado;12/01/2023;35 a 65 anos;1;1;Lisboa;675,32
Registo de Adesão;Registado;23/06/2023;35 a 65 anos;3;3;Lisboa;696,15
Registo de Adesão;Registado;26/01/2023;35 a 65 anos;3;2;Sintra;700
Registo de Adesão;Registado;31/01/2023;Menos 35 anos;1;1;Lisboa;701
Registo de Adesão;Registado;20/11/2023;35 a 65 anos;1;1;Lisboa;705
Registo de Adesão;Registado;11/01/2023;Menos 35 anos;2;2;Sintra;723,31
Registo de Adesão;Registado;26/09/2023;Menos 35 anos;1;1;Lisboa;733,94
Registo de Adesão;Registado;21/02/2023;35 a 65 anos;1;1;Lisboa;750,74
Registo de Adesão;Registado;03/01/2023;35 a 65 anos;1;1;Lisboa;759
Registo de Adesão;Registado;05/11/2024;Menos 35 anos;1;1;Lisboa;768,95
